niche,grade,score,channel_name,channel_url,subscribers,total_views,video_count,view_sub_ratio,views_per_video,country,created_date
True Crime,A EXCELLENT,78,Crime Files Unlocked,https://youtube.com/channel/UCPK3vJJKCLUibMqTJaket3g,3520,568679,39,161.6,14581,US,2026-02-04
True Crime,A EXCELLENT,76,Zoufry,https://youtube.com/channel/UCSTAsRH85wPdUHYeBNDaf7A,95600,10839079,66,113.4,164228,FR,2020-04-25
True Crime,A EXCELLENT,76,realhorrortok,https://youtube.com/channel/UCODtIhMk7WWq4xYPR_TziYw,79300,9879968,35,124.6,282284,US,2023-08-02
True Crime,A EXCELLENT,74,J P CRIME story ,https://youtube.com/channel/UC7OKqIlpFl04SGMuQQ8j3Dw,30700,7868364,390,256.3,20175,IN,2024-12-28
True Crime,A EXCELLENT,71,Zheludev,https://youtube.com/channel/UCPcvF5tB6IDczRen-VQXMwA,6790,1543235,36,227.3,42867,CH,2016-12-31
True Crime,A EXCELLENT,71,BHASKAR TV,https://youtube.com/channel/UCvrP9aWlAkMLoIZ-HOujECQ,6960,1384509,38,198.9,36434,IN,2021-09-17
True Crime,A EXCELLENT,66,Coast To Coast AM Shorts,https://youtube.com/channel/UCDIFlIWFsdOhR0v2tM-V7Sg,51300,5241568,117,102.2,44799,US,2024-07-02
True Crime,A EXCELLENT,66,LifeLens TV,https://youtube.com/channel/UCpmwamVSuSgoYwqFyPkOemw,60500,5741562,446,94.9,12873,KE,2016-01-13
Motivational & Self Help,A+ GOLDEN OPPORTUNITY,85,Matt Howell,https://youtube.com/channel/UC2X14BN3HVK2gneMI9EcDTQ,48800,50234240,10,1029.4,5023424,US,2011-07-12
Motivational & Self Help,A+ GOLDEN OPPORTUNITY,85,Millionaire Town,https://youtube.com/channel/UCEjH5yjyLzgIZx-9eClmJ5w,47200,6536819,12,138.5,544734,BD,2022-09-19
Motivational & Self Help,A+ GOLDEN OPPORTUNITY,80,BTY 365,https://youtube.com/channel/UCZ90qO_xrtCJTTOmTOyxWTQ,37200,5084985,17,136.7,299116,Unknown,2020-07-17
Motivational & Self Help,A EXCELLENT,79,Ask Nigel,https://youtube.com/channel/UCGxfwkwyrpiMOnQhM8MxqwA,42900,4931986,69,115.0,71478,US,2025-04-27
Motivational & Self Help,A EXCELLENT,75,TeachCascade Motivational,https://youtube.com/channel/UCQK4VcRRSdoGED5ySw3CdAQ,83300,6872315,86,82.5,79910,BD,2025-06-21
Motivational & Self Help,A EXCELLENT,75,HustleCore,https://youtube.com/channel/UCVbEcdRUE78kCWygwdOxqHA,27000,2783308,50,103.1,55666,PK,2024-11-26
Motivational & Self Help,A EXCELLENT,71,Aamir Unfiltered,https://youtube.com/channel/UC5nV3qmNiuDaLWlO1rAAyrw,62800,4091116,57,65.1,71773,IN,2022-10-23
Motivational & Self Help,A EXCELLENT,70,Andrea Callahan,https://youtube.com/channel/UCVoh38qH1JJfChgo1geiQ8Q,38200,6265337,374,164.0,16752,US,2013-10-26
Motivational & Self Help,A EXCELLENT,70,Explaineur,https://youtube.com/channel/UCYvXwKfLAXuo2NFhpoLkKmg,22600,1581756,75,70.0,21090,US,2025-07-19
Motivational & Self Help,A EXCELLENT,70,RiseUp Ayush ,https://youtube.com/channel/UCLaBT3Eu6xE2EF5N5dIpO3g,21200,2459500,59,116.0,41686,IN,2025-07-28
Motivational & Self Help,A EXCELLENT,70,The Modern Bro,https://youtube.com/channel/UCvvvUOpsXK95Gilqp7B3PrQ,1960,120273,105,61.4,1145,Unknown,2025-04-20
Motivational & Self Help,A EXCELLENT,67,Develop Good Habits,https://youtube.com/channel/UCuo-ccyhxSv5wwWxRl_0W5w,46800,3205539,274,68.5,11699,US,2017-06-03
